Description,2017,2018,2019,2020,2021,2022,state,county
Real GDP (thousands of chained 2017 dollars) ,256012,285289,265485,240731,254344,254037,Minnesota,Cook
Chain-type quantity indexes for real GDP ,100.000,111.436,103.700,94.031,99.348,99.229,Minnesota,Cook
Current-dollar GDP (thousands of current dollars) ,256012,293665,281117,258434,285444,306484,Minnesota,Cook
Real GDP (thousands of chained 2017 dollars) ,639431,651488,583952,647556,658647,692076,Minnesota,Cottonwood
Chain-type quantity indexes for real GDP ,100.000,101.886,91.324,101.271,103.005,108.233,Minnesota,Cottonwood
Current-dollar GDP (thousands of current dollars) ,639431,654738,599569,675777,763518,908293,Minnesota,Cottonwood
Real GDP (thousands of chained 2017 dollars) ,2736565,2800986,2920647,2820172,2871067,2843556,Minnesota,Crow Wing
Chain-type quantity indexes for real GDP ,100.000,102.354,106.727,103.055,104.915,103.910,Minnesota,Crow Wing
Current-dollar GDP (thousands of current dollars) ,2736565,2862966,3061162,3036816,3208796,3410317,Minnesota,Crow Wing
Real GDP (thousands of chained 2017 dollars) ,25137857,26588271,26702704,25628285,26229045,26077137,Minnesota,Dakota
Chain-type quantity indexes for real GDP ,100.000,105.770,106.225,101.951,104.341,103.737,Minnesota,Dakota
Current-dollar GDP (thousands of current dollars) ,25137857,27562007,27878810,26900560,29012689,31729539,Minnesota,Dakota
Real GDP (thousands of chained 2017 dollars) ,716280,733364,747219,703647,794965,800078,Minnesota,Dodge
Chain-type quantity indexes for real GDP ,100.000,102.385,104.319,98.236,110.985,111.699,Minnesota,Dodge
Current-dollar GDP (thousands of current dollars) ,716280,748379,788960,761314,898872,1012402,Minnesota,Dodge
Real GDP (thousands of chained 2017 dollars) ,1902245,1936825,1969190,1960790,2068068,2098662,Minnesota,Douglas
Chain-type quantity indexes for real GDP ,100.000,101.818,103.519,103.078,108.717,110.326,Minnesota,Douglas
Current-dollar GDP (thousands of current dollars) ,1902245,1979134,2061971,2098433,2310435,2533065,Minnesota,Douglas
Real GDP (thousands of chained 2017 dollars) ,451678,454668,475731,487550,549628,551976,Minnesota,Faribault
Chain-type quantity indexes for real GDP ,100.000,100.662,105.325,107.942,121.686,122.206,Minnesota,Faribault
Current-dollar GDP (thousands of current dollars) ,451678,463466,497014,520762,638891,723697,Minnesota,Faribault
Real GDP (thousands of chained 2017 dollars) ,649680,594062,601852,641806,643718,654985,Minnesota,Fillmore
Chain-type quantity indexes for real GDP ,100.000,91.439,92.638,98.788,99.082,100.817,Minnesota,Fillmore
Current-dollar GDP (thousands of current dollars) ,649680,606824,631971,690633,749241,850568,Minnesota,Fillmore
Real GDP (thousands of chained 2017 dollars) ,1228317,1191480,1224403,1212570,1289853,1320797,Minnesota,Freeborn
Chain-type quantity indexes for real GDP ,100.000,97.001,99.681,98.718,105.010,107.529,Minnesota,Freeborn
Current-dollar GDP (thousands of current dollars) ,1228317,1215088,1281256,1303463,1480763,1665061,Minnesota,Freeborn
Real GDP (thousands of chained 2017 dollars) ,2884458,2889850,2811851,2829305,2783642,2922702,Minnesota,Goodhue
Chain-type quantity indexes for real GDP ,100.000,100.187,97.483,98.088,96.505,101.326,Minnesota,Goodhue
Current-dollar GDP (thousands of current dollars) ,2884458,2954119,2944210,2999511,3201178,3698183,Minnesota,Goodhue
Real GDP (thousands of chained 2017 dollars) ,243856,239095,251990,264345,276593,300452,Minnesota,Grant
Chain-type quantity indexes for real GDP ,100.000,98.047,103.336,108.402,113.425,123.209,Minnesota,Grant
Current-dollar GDP (thousands of current dollars) ,243856,245361,266840,284828,327150,405848,Minnesota,Grant
Real GDP (thousands of chained 2017 dollars) ,135026932,139272489,141491857,137239443,146519635,150146936,Minnesota,Hennepin
Chain-type quantity indexes for real GDP ,100.000,103.144,104.788,101.639,108.511,111.198,Minnesota,Hennepin
Current-dollar GDP (thousands of current dollars) ,135026932,141931028,147134676,144792600,158639754,171684705,Minnesota,Hennepin
Real GDP (thousands of chained 2017 dollars) ,541530,520975,530006,550041,585432,584837,Minnesota,Houston
Chain-type quantity indexes for real GDP ,100.000,96.204,97.872,101.572,108.107,107.997,Minnesota,Houston
Current-dollar GDP (thousands of current dollars) ,541530,531918,553657,587862,659773,713497,Minnesota,Houston
Real GDP (thousands of chained 2017 dollars) ,674359,745053,816920,795238,808550,811761,Minnesota,Hubbard
Chain-type quantity indexes for real GDP ,100.000,110.483,121.140,117.925,119.899,120.375,Minnesota,Hubbard
Current-dollar GDP (thousands of current dollars) ,674359,759488,851881,856011,908558,959299,Minnesota,Hubbard
Real GDP (thousands of chained 2017 dollars) ,1092329,1107680,1127572,1087365,1138606,1112013,Minnesota,Isanti
Chain-type quantity indexes for real GDP ,100.000,101.405,103.226,99.546,104.237,101.802,Minnesota,Isanti
Current-dollar GDP (thousands of current dollars) ,1092329,1129862,1180971,1176252,1278668,1336181,Minnesota,Isanti
Real GDP (thousands of chained 2017 dollars) ,2090282,2170772,2099009,1956394,2066313,2095373,Minnesota,Itasca
Chain-type quantity indexes for real GDP ,100.000,103.851,100.417,93.595,98.853,100.244,Minnesota,Itasca
Current-dollar GDP (thousands of current dollars) ,2090282,2230581,2207136,2093306,2360846,2599407,Minnesota,Itasca
Real GDP (thousands of chained 2017 dollars) ,639326,653754,664810,620441,617149,629180,Minnesota,Jackson
Chain-type quantity indexes for real GDP ,100.000,102.257,103.986,97.046,96.531,98.413,Minnesota,Jackson
Current-dollar GDP (thousands of current dollars) ,639326,657864,685330,647808,704898,823639,Minnesota,Jackson
Real GDP (thousands of chained 2017 dollars) ,402378,411625,428529,413073,429159,411938,Minnesota,Kanabec
Chain-type quantity indexes for real GDP ,100.000,102.298,106.499,102.658,106.656,102.376,Minnesota,Kanabec
Current-dollar GDP (thousands of current dollars) ,402378,422298,452706,451282,486229,505544,Minnesota,Kanabec
Real GDP (thousands of chained 2017 dollars) ,2332902,2304771,2232069,2130008,2213470,2277008,Minnesota,Kandiyohi
Chain-type quantity indexes for real GDP ,100.000,98.794,95.678,91.303,94.881,97.604,Minnesota,Kandiyohi
Current-dollar GDP (thousands of current dollars) ,2332902,2343866,2333049,2287908,2487605,2751211,Minnesota,Kandiyohi
Real GDP (thousands of chained 2017 dollars) ,201599,201729,183866,225274,275203,267550,Minnesota,Kittson
Chain-type quantity indexes for real GDP ,100.000,100.065,91.204,111.744,136.510,132.714,Minnesota,Kittson
Current-dollar GDP (thousands of current dollars) ,201599,203499,189705,235857,326004,364075,Minnesota,Kittson
Real GDP (thousands of chained 2017 dollars) ,508946,560136,541634,491683,478291,477144,Minnesota,Koochiching
Chain-type quantity indexes for real GDP ,100.000,110.058,106.423,96.608,93.977,93.751,Minnesota,Koochiching
Current-dollar GDP (thousands of current dollars) ,508946,572871,563109,515735,526591,569211,Minnesota,Koochiching
Real GDP (thousands of chained 2017 dollars) ,249974,238532,251494,277090,308823,323139,Minnesota,Lac qui Parle
Chain-type quantity indexes for real GDP ,100.000,95.423,100.608,110.847,123.542,129.269,Minnesota,Lac qui Parle
Current-dollar GDP (thousands of current dollars) ,249974,243195,263351,296064,369211,449857,Minnesota,Lac qui Parle
Real GDP (thousands of chained 2017 dollars) ,516651,553094,552982,501125,483945,440382,Minnesota,Lake
Chain-type quantity indexes for real GDP ,100.000,107.054,107.032,96.995,93.670,85.238,Minnesota,Lake
Current-dollar GDP (thousands of current dollars) ,516651,569589,583601,540326,562284,557115,Minnesota,Lake
Real GDP (thousands of chained 2017 dollars) ,180057,193749,192283,194082,195400,192322,Minnesota,Lake of the Woods
Chain-type quantity indexes for real GDP ,100.000,107.604,106.790,107.789,108.521,106.812,Minnesota,Lake of the Woods
Current-dollar GDP (thousands of current dollars) ,180057,199059,201941,204806,221367,239039,Minnesota,Lake of the Woods
Real GDP (thousands of chained 2017 dollars) ,958550,988563,938508,937622,928777,920255,Minnesota,Le Sueur
Chain-type quantity indexes for real GDP ,100.000,103.131,97.909,97.817,96.894,96.005,Minnesota,Le Sueur
Current-dollar GDP (thousands of current dollars) ,958550,1013377,981964,997555,1056339,1141225,Minnesota,Le Sueur
Real GDP (thousands of chained 2017 dollars) ,263024,265840,314293,328695,363869,418566,Minnesota,Lincoln
Chain-type quantity indexes for real GDP ,100.000,101.071,119.492,124.968,138.341,159.136,Minnesota,Lincoln
Current-dollar GDP (thousands of current dollars) ,263024,270507,325574,339927,436828,580214,Minnesota,Lincoln
Real GDP (thousands of chained 2017 dollars) ,1581980,1568499,1575482,1480692,1546282,1546265,Minnesota,Lyon
Chain-type quantity indexes for real GDP ,100.000,99.148,99.589,93.597,97.743,97.742,Minnesota,Lyon
Current-dollar GDP (thousands of current dollars) ,1581980,1587736,1623813,1560643,1745770,1908626,Minnesota,Lyon
Real GDP (thousands of chained 2017 dollars) ,1816268,1844830,1824193,1737880,1807020,1710141,Minnesota,McLeod
Chain-type quantity indexes for real GDP ,100.000,101.573,100.436,95.684,99.491,94.157,Minnesota,McLeod
Current-dollar GDP (thousands of current dollars) ,1816268,1881006,1892008,1816816,1979850,2052084,Minnesota,McLeod
Real GDP (thousands of chained 2017 dollars) ,159185,164200,168459,158188,195156,188632,Minnesota,Mahnomen
Chain-type quantity indexes for real GDP ,100.000,103.150,105.826,99.374,122.597,118.499,Minnesota,Mahnomen
Current-dollar GDP (thousands of current dollars) ,159185,168852,177526,171336,228082,246124,Minnesota,Mahnomen
Real GDP (thousands of chained 2017 dollars) ,352613,376956,393558,421204,453563,444255,Minnesota,Marshall
Chain-type quantity indexes for real GDP ,100.000,106.904,111.612,119.452,128.629,125.989,Minnesota,Marshall
Current-dollar GDP (thousands of current dollars) ,352613,383309,411665,446716,545263,622269,Minnesota,Marshall
Real GDP (thousands of chained 2017 dollars) ,1073860,1105371,1086046,961517,1060625,1035892,Minnesota,Martin
Chain-type quantity indexes for real GDP ,100.000,102.934,101.135,89.538,98.768,96.464,Minnesota,Martin
Current-dollar GDP (thousands of current dollars) ,1073860,1116855,1119809,1004647,1223035,1359538,Minnesota,Martin
Real GDP (thousands of chained 2017 dollars) ,813790,948112,1071255,991182,1052713,1144076,Minnesota,Meeker
Chain-type quantity indexes for real GDP ,100.000,116.506,131.638,121.798,129.359,140.586,Minnesota,Meeker
Current-dollar GDP (thousands of current dollars) ,813790,957810,1104703,1040925,1107890,1289449,Minnesota,Meeker
Real GDP (thousands of chained 2017 dollars) ,792635,810046,829611,773565,835064,817976,Minnesota,Mille Lacs
Chain-type quantity indexes for real GDP ,100.000,102.197,104.665,97.594,105.353,103.197,Minnesota,Mille Lacs
Current-dollar GDP (thousands of current dollars) ,792635,829865,872843,841158,940015,977850,Minnesota,Mille Lacs
Real GDP (thousands of chained 2017 dollars) ,1152573,1174088,1089146,1105463,1056192,1088423,Minnesota,Morrison
Chain-type quantity indexes for real GDP ,100.000,101.867,94.497,95.913,91.638,94.434,Minnesota,Morrison
Current-dollar GDP (thousands of current dollars) ,1152573,1189227,1125496,1169563,1201007,1370436,Minnesota,Morrison
Real GDP (thousands of chained 2017 dollars) ,1911393,1936734,1841258,1837067,1913219,1978794,Minnesota,Mower
Chain-type quantity indexes for real GDP ,100.000,101.326,96.331,96.111,100.096,103.526,Minnesota,Mower
Current-dollar GDP (thousands of current dollars) ,1911393,1963368,1911490,1952300,2138928,2359673,Minnesota,Mower
Real GDP (thousands of chained 2017 dollars) ,447570,486667,525349,499325,448801,453837,Minnesota,Murray
Chain-type quantity indexes for real GDP ,100.000,108.736,117.378,111.564,100.275,101.400,Minnesota,Murray
Current-dollar GDP (thousands of current dollars) ,447570,490269,537328,514462,527872,608767,Minnesota,Murray
Real GDP (thousands of chained 2017 dollars) ,1516684,1615922,1552144,1449268,1515831,1573290,Minnesota,Nicollet
Chain-type quantity indexes for real GDP ,100.000,106.543,102.338,95.555,99.944,103.732,Minnesota,Nicollet
Current-dollar GDP (thousands of current dollars) ,1516684,1639087,1613680,1544644,1683177,1896196,Minnesota,Nicollet
Real GDP (thousands of chained 2017 dollars) ,1255787,1281273,1218216,1231888,1220514,1252817,Minnesota,Nobles
Chain-type quantity indexes for real GDP ,100.000,102.029,97.008,98.097,97.191,99.763,Minnesota,Nobles
Current-dollar GDP (thousands of current dollars) ,1255787,1289356,1249112,1291743,1401613,1576983,Minnesota,Nobles
Real GDP (thousands of chained 2017 dollars) ,196218,202769,229356,231719,268864,247620,Minnesota,Norman
Chain-type quantity indexes for real GDP ,100.000,103.338,116.888,118.092,137.023,126.196,Minnesota,Norman
Current-dollar GDP (thousands of current dollars) ,196218,206776,238723,243923,324080,348809,Minnesota,Norman
Real GDP (thousands of chained 2017 dollars) ,10960398,11484940,11756446,11554089,11905171,11994255,Minnesota,Olmsted
Chain-type quantity indexes for real GDP ,100.000,104.786,107.263,105.417,108.620,109.433,Minnesota,Olmsted
Current-dollar GDP (thousands of current dollars) ,10960398,11630507,12127233,12197118,12972323,13666656,Minnesota,Olmsted
Real GDP (thousands of chained 2017 dollars) ,2289707,2288081,2256055,2329010,2405425,2403205,Minnesota,Otter Tail
Chain-type quantity indexes for real GDP ,100.000,99.929,98.530,101.717,105.054,104.957,Minnesota,Otter Tail
Current-dollar GDP (thousands of current dollars) ,2289707,2328745,2354816,2500570,2724722,2949630,Minnesota,Otter Tail
Real GDP (thousands of chained 2017 dollars) ,1371850,1694949,1726529,1692643,2034568,2003829,Minnesota,Pennington
Chain-type quantity indexes for real GDP ,100.000,123.552,125.854,123.384,148.308,146.068,Minnesota,Pennington
Current-dollar GDP (thousands of current dollars) ,1371850,1730424,1833003,1816541,2324140,2522199,Minnesota,Pennington
Real GDP (thousands of chained 2017 dollars) ,698917,720515,739159,697061,725722,730992,Minnesota,Pine
Chain-type quantity indexes for real GDP ,100.000,103.090,105.758,99.734,103.835,104.589,Minnesota,Pine
Current-dollar GDP (thousands of current dollars) ,698917,738473,778739,758934,819820,878659,Minnesota,Pine
Real GDP (thousands of chained 2017 dollars) ,663429,679711,678229,628433,613808,637733,Minnesota,Pipestone
Chain-type quantity indexes for real GDP ,100.000,102.454,102.231,94.725,92.521,96.127,Minnesota,Pipestone
Current-dollar GDP (thousands of current dollars) ,663429,682115,689966,645590,707430,835140,Minnesota,Pipestone
Real GDP (thousands of chained 2017 dollars) ,1245857,1277289,1344840,1379879,1484831,1382369,Minnesota,Polk
Chain-type quantity indexes for real GDP ,100.000,102.523,107.945,110.757,119.182,110.957,Minnesota,Polk
Current-dollar GDP (thousands of current dollars) ,1245857,1302192,1408626,1479622,1712433,1753112,Minnesota,Polk
Real GDP (thousands of chained 2017 dollars) ,489158,508386,511536,517133,561002,566281,Minnesota,Pope
Chain-type quantity indexes for real GDP ,100.000,103.931,104.575,105.719,114.687,115.766,Minnesota,Pope
Current-dollar GDP (thousands of current dollars) ,489158,518189,539478,558030,648622,737546,Minnesota,Pope
Real GDP (thousands of chained 2017 dollars) ,42055201,42550515,43269570,41653200,42454434,43178777,Minnesota,Ramsey
Chain-type quantity indexes for real GDP ,100.000,101.178,102.888,99.044,100.949,102.672,Minnesota,Ramsey
Current-dollar GDP (thousands of current dollars) ,42055201,43346083,44858761,44059008,46009672,49206361,Minnesota,Ramsey
Real GDP (thousands of chained 2017 dollars) ,166604,176726,156936,153111,188737,187489,Minnesota,Red Lake
Chain-type quantity indexes for real GDP ,100.000,106.076,94.197,91.901,113.285,112.536,Minnesota,Red Lake
Current-dollar GDP (thousands of current dollars) ,166604,178123,160454,159056,225437,267007,Minnesota,Red Lake
Real GDP (thousands of chained 2017 dollars) ,753235,833045,798941,822945,927218,972308,Minnesota,Redwood
Chain-type quantity indexes for real GDP ,100.000,110.596,106.068,109.255,123.098,129.084,Minnesota,Redwood
Current-dollar GDP (thousands of current dollars) ,753235,840632,820769,859573,1073628,1275903,Minnesota,Redwood
Real GDP (thousands of chained 2017 dollars) ,726963,775472,638303,716129,798124,780819,Minnesota,Renville
